"CBSA","CBSA Code","Date","AQI","Category","Defining Parameter","Defining Site","Number of Sites Reporting"
"Aberdeen, WA","10140","2020-01-01",40,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-02",17,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-03",40,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-04",23,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-05",18,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-06",20,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-07",21,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-08",23,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-09",17,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-10",25,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-11",26,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-12",22,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-13",26,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-14",21,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-15",14,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-16",26,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-17",18,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-18",24,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-19",16,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-20",23,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-21",30,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-22",13,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-23",16,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-24",27,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-25",17,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-26",31,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-27",15,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-28",18,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-29",25,"Good","PM2.5","53-027-0011",2
"Aberdeen, WA","10140","2020-01-30",15,"Good","PM2.5","53-027-2002",2
"Aberdeen, WA","10140","2020-01-31",21,"Good","PM2.5","53-027-0011",2
"Akron, OH","10420","2020-01-01",24,"Good","PM2.5","39-153-0023",3
"Akron, OH","10420","2020-01-02",14,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-03",23,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-04",32,"Good","PM2.5","39-153-0023",3
"Akron, OH","10420","2020-01-05",19,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-06",19,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-07",29,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-01-08",15,"Good","PM2.5","39-153-0017",3
"Akron, OH","10420","2020-01-09",26,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-10",24,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-01-11",9,"Good","PM2.5","39-153-0017",3
"Akron, OH","10420","2020-01-12",8,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-13",30,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-01-14",55,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-15",45,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-16",27,"Good","PM2.5","39-153-0023",4
"Akron, OH","10420","2020-01-17",15,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-18",15,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-19",41,"Good","PM2.5","39-153-0023",4
"Akron, OH","10420","2020-01-20",28,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-21",33,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-22",66,"Moderate","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-01-23",56,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-24",42,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-25",23,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-01-26",22,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-27",33,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-28",28,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-01-29",13,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-30",35,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-01-31",58,"Moderate","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-02-01",57,"Moderate","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-02",26,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-03",26,"Good","PM2.5","39-153-0017",4
"Akron, OH","10420","2020-02-04",30,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-05",12,"Good","PM2.5","39-153-0017",2
"Akron, OH","10420","2020-02-06",18,"Good","PM2.5","39-153-0023",4
"Akron, OH","10420","2020-02-07",25,"Good","PM2.5","39-153-0017",2
